Date,Callsign,Grid,Freq (MHz),Lat,Lon
2024-05-10,W2NAF,FN21ei,15.0,41.33333206176758,-75.66666412353516
Hour (UTC),Doppler (Hz),Spread (mHz),Level (dB)
0.0,-0.2436400055885315,141.0,79.01
0.01667,-0.26816999912261963,116.0,79.72
0.03333,-0.2784099876880646,105.0,79.81
0.05,-0.21119999885559082,145.0,81.27
0.06667,-0.13451999425888062,100.0,83.12
0.08333,-0.18713000416755676,137.0,85.78
0.1,-0.2013700008392334,149.0,84.35
0.11667,-0.20689000189304352,171.0,82.35
0.13333,-0.23005999624729156,151.0,82.58
0.15,-0.23948000371456146,169.0,82.69
0.16667,-0.23713000118732452,174.0,81.96
0.18333,-0.23090000450611115,134.0,83.15
0.2,-0.10964000225067139,203.0,82.38
0.21667,-0.3631500005722046,150.0,81.8
0.23333,-0.4462999999523163,158.0,80.16
0.25,-0.4876300096511841,121.0,79.13
0.26667,-0.4630500078201294,192.0,77.99
0.28333,-0.4636099934577942,176.0,78.17
0.3,-0.5682899951934814,167.0,79.47
0.31667,-0.6427599787712097,202.0,79.26
0.33333,-0.658810019493103,187.0,79.33
0.35,-0.6629199981689453,121.0,81.28
0.36667,-0.6074900031089783,188.0,83.68
0.38333,-0.5681899785995483,190.0,82.14
0.4,-0.5250800251960754,205.0,82.37
0.41667,-0.5285300016403198,216.0,79.51
0.43333,-0.5808899998664856,181.0,79.83
0.45,-0.5922200083732605,210.0,80.02
0.46667,-0.5558099746704102,233.0,79.82
0.48333,-0.6188300251960754,242.0,82.09
0.5,-0.6274700164794922,257.0,85.58
0.51667,-0.5506500005722046,370.0,87.06
0.53333,-0.5034700036048889,300.0,84.93
0.55,-0.3343200087547302,215.0,85.53
0.56667,-0.3608100116252899,245.0,83.08
0.58333,-0.2607699930667877,163.0,83.27
0.6,-0.3450300097465515,201.0,81.76
0.61667,-0.25918999314308167,221.0,80.01
0.63333,-0.302949994802475,216.0,78.13
0.65,-0.1676200032234192,216.0,84.87
0.66667,-0.3703800141811371,283.0,74.64
0.68333,-0.603879988193512,315.0,77.65
0.7,-0.8023999929428101,397.0,77.01
0.71667,-0.9647300243377686,398.0,77.77
0.73333,-1.060379981994629,374.0,80.93
