#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>1minute
#     DESCRIPTOR                      IMF and Plasma data
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            1minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                 
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html   
#                                     Time stamps are for the beginning of each data averaging time bin.
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     2024 Sept: Added BIN_LOCATION attributes
#     LOGICAL_FILE_ID                 omni_hro_1min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Activity Indices
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 1 minute
#     LOGICAL_SOURCE                  omni_hro_1min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 1-minute IMF and Plasma Data Time-Shifted to the                           
#                                      Nose of the Earth's Bow Shock, plus Magnetic Indices                                                  
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_1min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT1M
#     DOI                             https://doi.org/10.48322/45bb-8792
#     CDAWEB_PARENTS                  omni_hro_1min_00000000_v01
#                                     omni_hro_1min_20240501_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time base for time binned measurements, the time is the center time of each bin.
#       NOTES:  times of binned data
#  2. SYM/H - 1-minute SYM/H index,from WDC Kyoto (1981/001-2026/059)
#  3. uncertainty of mean of SYM/H index
#  4. uncertainty of mean of SYM/H index
#  5. Time Binning of SYM/H index
#
EPOCH_BIN_yyyy-mm-ddThh:mm:ss.sssZ,SYM/H_INDEX_nT,SYM/H_INDEX_CNTS,SYM/H_INDEX_CNTS,#_OF_SYM/H_INDEX_CNTS
2024-05-10T00:07:30.000Z,4.8571429,0.86443782,0.86443782,14.000000
2024-05-10T00:22:30.000Z,2.0000000,0.92582010,0.92582010,15.000000
2024-05-10T00:37:30.000Z,0.20000000,1.2071217,1.2071217,15.000000
2024-05-10T00:52:30.000Z,0.20000000,1.0141851,1.0141851,15.000000
2024-05-10T01:07:30.000Z,-2.2666667,0.59361684,0.59361684,15.000000
2024-05-10T01:22:30.000Z,-2.8000000,0.56061191,0.56061191,15.000000
2024-05-10T01:37:30.000Z,-3.0000000,0.0000000,0.0000000,15.000000
2024-05-10T01:52:30.000Z,-3.1333333,0.35186578,0.35186578,15.000000
2024-05-10T02:07:30.000Z,-5.2666667,0.70373155,0.70373155,15.000000
2024-05-10T02:22:30.000Z,-5.0000000,0.53452248,0.53452248,15.000000
2024-05-10T02:37:30.000Z,-1.9333333,1.8309508,1.8309508,15.000000
2024-05-10T02:52:30.000Z,-0.20000000,1.3732131,1.3732131,15.000000
2024-05-10T03:07:30.000Z,2.8000000,4.1610438,4.1610438,15.000000
2024-05-10T03:22:30.000Z,14.466667,2.6149752,2.6149752,15.000000
2024-05-10T03:37:30.000Z,14.866667,3.3137520,3.3137520,15.000000
2024-05-10T03:52:30.000Z,9.8666667,0.35186578,0.35186578,15.000000
2024-05-10T04:07:30.000Z,9.2666667,0.45773771,0.45773771,15.000000
2024-05-10T04:22:30.000Z,7.1333333,1.1872337,1.1872337,15.000000
2024-05-10T04:37:30.000Z,3.2666667,1.2798809,1.2798809,15.000000
2024-05-10T04:52:30.000Z,0.73333333,0.96115010,0.96115010,15.000000
2024-05-10T05:07:30.000Z,-1.6000000,1.1212238,1.1212238,15.000000
2024-05-10T05:22:30.000Z,-4.8666667,1.8073922,1.8073922,15.000000
2024-05-10T05:37:30.000Z,-8.5333333,0.63994047,0.63994047,15.000000
2024-05-10T05:52:30.000Z,-7.2666667,0.45773771,0.45773771,15.000000
2024-05-10T06:07:30.000Z,-5.0666667,1.0327956,1.0327956,15.000000
2024-05-10T06:22:30.000Z,-4.3333333,0.48795004,0.48795004,15.000000
2024-05-10T06:37:30.000Z,-1.4666667,2.2635833,2.2635833,15.000000
2024-05-10T06:52:30.000Z,6.1333333,2.0655911,2.0655911,15.000000
2024-05-10T07:07:30.000Z,8.6000000,0.63245553,0.63245553,15.000000
2024-05-10T07:22:30.000Z,7.6000000,2.2614787,2.2614787,15.000000
2024-05-10T07:37:30.000Z,6.7333333,0.96115010,0.96115010,15.000000
2024-05-10T07:52:30.000Z,4.3333333,1.3451854,1.3451854,15.000000
2024-05-10T08:07:30.000Z,1.8666667,0.83380939,0.83380939,15.000000
2024-05-10T08:22:30.000Z,2.7333333,0.70373155,0.70373155,15.000000
2024-05-10T08:37:30.000Z,2.5333333,0.63994047,0.63994047,15.000000
2024-05-10T08:52:30.000Z,2.4000000,0.73678840,0.73678840,15.000000
2024-05-10T09:07:30.000Z,2.4666667,0.99043040,0.99043040,15.000000
2024-05-10T09:22:30.000Z,3.6666667,1.1126973,1.1126973,15.000000
2024-05-10T09:37:30.000Z,2.9333333,1.5796323,1.5796323,15.000000
2024-05-10T09:52:30.000Z,5.3333333,0.81649658,0.81649658,15.000000
2024-05-10T10:07:30.000Z,2.0000000,0.75592895,0.75592895,15.000000
2024-05-10T10:22:30.000Z,1.4000000,0.50709255,0.50709255,15.000000
