#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>1minute
#     DESCRIPTOR                      IMF and Plasma data
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            1minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                 
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html   
#                                     Time stamps are for the beginning of each data averaging time bin.
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     2024 Sept: Added BIN_LOCATION attributes
#     LOGICAL_FILE_ID                 omni_hro_1min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Activity Indices
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 1 minute
#     LOGICAL_SOURCE                  omni_hro_1min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 1-minute IMF and Plasma Data Time-Shifted to the                           
#                                      Nose of the Earth's Bow Shock, plus Magnetic Indices                                                  
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_1min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT1M
#     DOI                             https://doi.org/10.48322/45bb-8792
#     CDAWEB_PARENTS                  omni_hro_1min_00000000_v01
#                                     omni_hro_1min_20240501_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. SYM/H - 1-minute SYM/H index,from WDC Kyoto (1981/001-2026/090)
#
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,SYM/H_INDEX_nT
2024-05-10T00:00:00.000Z,6
2024-05-10T00:01:00.000Z,6
2024-05-10T00:02:00.000Z,6
2024-05-10T00:03:00.000Z,6
2024-05-10T00:04:00.000Z,6
2024-05-10T00:05:00.000Z,5
2024-05-10T00:06:00.000Z,5
2024-05-10T00:07:00.000Z,5
2024-05-10T00:08:00.000Z,5
2024-05-10T00:09:00.000Z,4
2024-05-10T00:10:00.000Z,4
2024-05-10T00:11:00.000Z,4
2024-05-10T00:12:00.000Z,4
2024-05-10T00:13:00.000Z,4
2024-05-10T00:14:00.000Z,4
2024-05-10T00:15:00.000Z,3
2024-05-10T00:16:00.000Z,3
2024-05-10T00:17:00.000Z,3
2024-05-10T00:18:00.000Z,3
2024-05-10T00:19:00.000Z,3
2024-05-10T00:20:00.000Z,3
2024-05-10T00:21:00.000Z,2
2024-05-10T00:22:00.000Z,2
2024-05-10T00:23:00.000Z,2
2024-05-10T00:24:00.000Z,1
2024-05-10T00:25:00.000Z,1
2024-05-10T00:26:00.000Z,1
2024-05-10T00:27:00.000Z,1
2024-05-10T00:28:00.000Z,1
2024-05-10T00:29:00.000Z,1
2024-05-10T00:30:00.000Z,1
2024-05-10T00:31:00.000Z,0
2024-05-10T00:32:00.000Z,0
2024-05-10T00:33:00.000Z,-1
2024-05-10T00:34:00.000Z,-1
2024-05-10T00:35:00.000Z,-1
2024-05-10T00:36:00.000Z,-1
2024-05-10T00:37:00.000Z,-1
2024-05-10T00:38:00.000Z,-1
2024-05-10T00:39:00.000Z,0
2024-05-10T00:40:00.000Z,1
2024-05-10T00:41:00.000Z,1
2024-05-10T00:42:00.000Z,2
2024-05-10T00:43:00.000Z,2
2024-05-10T00:44:00.000Z,2
2024-05-10T00:45:00.000Z,2
2024-05-10T00:46:00.000Z,1
2024-05-10T00:47:00.000Z,1
2024-05-10T00:48:00.000Z,1
2024-05-10T00:49:00.000Z,1
2024-05-10T00:50:00.000Z,1
2024-05-10T00:51:00.000Z,1
2024-05-10T00:52:00.000Z,0
2024-05-10T00:53:00.000Z,0
2024-05-10T00:54:00.000Z,-1
2024-05-10T00:55:00.000Z,-1
2024-05-10T00:56:00.000Z,0
2024-05-10T00:57:00.000Z,-1
2024-05-10T00:58:00.000Z,-1
2024-05-10T00:59:00.000Z,-1
2024-05-10T01:00:00.000Z,-1
2024-05-10T01:01:00.000Z,-2
2024-05-10T01:02:00.000Z,-2
2024-05-10T01:03:00.000Z,-2
2024-05-10T01:04:00.000Z,-2
2024-05-10T01:05:00.000Z,-2
2024-05-10T01:06:00.000Z,-2
2024-05-10T01:07:00.000Z,-2
2024-05-10T01:08:00.000Z,-3
2024-05-10T01:09:00.000Z,-3
2024-05-10T01:10:00.000Z,-3
2024-05-10T01:11:00.000Z,-2
2024-05-10T01:12:00.000Z,-3
2024-05-10T01:13:00.000Z,-3
2024-05-10T01:14:00.000Z,-2
2024-05-10T01:15:00.000Z,-2
2024-05-10T01:16:00.000Z,-2
2024-05-10T01:17:00.000Z,-3
2024-05-10T01:18:00.000Z,-2
2024-05-10T01:19:00.000Z,-2
2024-05-10T01:20:00.000Z,-3
2024-05-10T01:21:00.000Z,-3
2024-05-10T01:22:00.000Z,-3
2024-05-10T01:23:00.000Z,-3
2024-05-10T01:24:00.000Z,-3
2024-05-10T01:25:00.000Z,-3
2024-05-10T01:26:00.000Z,-3
2024-05-10T01:27:00.000Z,-4
2024-05-10T01:28:00.000Z,-3
2024-05-10T01:29:00.000Z,-3
2024-05-10T01:30:00.000Z,-3
2024-05-10T01:31:00.000Z,-3
2024-05-10T01:32:00.000Z,-3
2024-05-10T01:33:00.000Z,-3
2024-05-10T01:34:00.000Z,-3
2024-05-10T01:35:00.000Z,-3
2024-05-10T01:36:00.000Z,-3
2024-05-10T01:37:00.000Z,-3
2024-05-10T01:38:00.000Z,-3
2024-05-10T01:39:00.000Z,-3
2024-05-10T01:40:00.000Z,-3
2024-05-10T01:41:00.000Z,-3
2024-05-10T01:42:00.000Z,-3
2024-05-10T01:43:00.000Z,-3
2024-05-10T01:44:00.000Z,-3
2024-05-10T01:45:00.000Z,-3
2024-05-10T01:46:00.000Z,-3
2024-05-10T01:47:00.000Z,-3
2024-05-10T01:48:00.000Z,-4
2024-05-10T01:49:00.000Z,-4
2024-05-10T01:50:00.000Z,-3
2024-05-10T01:51:00.000Z,-3
2024-05-10T01:52:00.000Z,-3
2024-05-10T01:53:00.000Z,-3
2024-05-10T01:54:00.000Z,-3
2024-05-10T01:55:00.000Z,-3
2024-05-10T01:56:00.000Z,-3
2024-05-10T01:57:00.000Z,-3
2024-05-10T01:58:00.000Z,-3
2024-05-10T01:59:00.000Z,-3
2024-05-10T02:00:00.000Z,-4
2024-05-10T02:01:00.000Z,-4
2024-05-10T02:02:00.000Z,-5
2024-05-10T02:03:00.000Z,-5
2024-05-10T02:04:00.000Z,-5
2024-05-10T02:05:00.000Z,-5
2024-05-10T02:06:00.000Z,-5
2024-05-10T02:07:00.000Z,-5
2024-05-10T02:08:00.000Z,-6
2024-05-10T02:09:00.000Z,-6
2024-05-10T02:10:00.000Z,-6
2024-05-10T02:11:00.000Z,-6
2024-05-10T02:12:00.000Z,-6
2024-05-10T02:13:00.000Z,-6
2024-05-10T02:14:00.000Z,-5
2024-05-10T02:15:00.000Z,-5
2024-05-10T02:16:00.000Z,-5
2024-05-10T02:17:00.000Z,-5
2024-05-10T02:18:00.000Z,-5
2024-05-10T02:19:00.000Z,-5
2024-05-10T02:20:00.000Z,-5
2024-05-10T02:21:00.000Z,-5
2024-05-10T02:22:00.000Z,-5
2024-05-10T02:23:00.000Z,-4
2024-05-10T02:24:00.000Z,-4
2024-05-10T02:25:00.000Z,-5
2024-05-10T02:26:00.000Z,-6
2024-05-10T02:27:00.000Z,-6
2024-05-10T02:28:00.000Z,-5
2024-05-10T02:29:00.000Z,-5
2024-05-10T02:30:00.000Z,-6
2024-05-10T02:31:00.000Z,-5
2024-05-10T02:32:00.000Z,-4
2024-05-10T02:33:00.000Z,-3
2024-05-10T02:34:00.000Z,-2
2024-05-10T02:35:00.000Z,-2
2024-05-10T02:36:00.000Z,-1
2024-05-10T02:37:00.000Z,-1
2024-05-10T02:38:00.000Z,-2
2024-05-10T02:39:00.000Z,-1
2024-05-10T02:40:00.000Z,-1
2024-05-10T02:41:00.000Z,-1
2024-05-10T02:42:00.000Z,0
2024-05-10T02:43:00.000Z,0
2024-05-10T02:44:00.000Z,0
2024-05-10T02:45:00.000Z,0
2024-05-10T02:46:00.000Z,1
2024-05-10T02:47:00.000Z,2
2024-05-10T02:48:00.000Z,2
2024-05-10T02:49:00.000Z,2
2024-05-10T02:50:00.000Z,0
2024-05-10T02:51:00.000Z,0
2024-05-10T02:52:00.000Z,-1
2024-05-10T02:53:00.000Z,-1
2024-05-10T02:54:00.000Z,-1
2024-05-10T02:55:00.000Z,-1
2024-05-10T02:56:00.000Z,-2
2024-05-10T02:57:00.000Z,-2
2024-05-10T02:58:00.000Z,-1
2024-05-10T02:59:00.000Z,-1
2024-05-10T03:00:00.000Z,0
2024-05-10T03:01:00.000Z,0
2024-05-10T03:02:00.000Z,0
2024-05-10T03:03:00.000Z,0
2024-05-10T03:04:00.000Z,0
2024-05-10T03:05:00.000Z,0
2024-05-10T03:06:00.000Z,0
2024-05-10T03:07:00.000Z,-1
2024-05-10T03:08:00.000Z,0
2024-05-10T03:09:00.000Z,2
2024-05-10T03:10:00.000Z,5
2024-05-10T03:11:00.000Z,7
2024-05-10T03:12:00.000Z,9
2024-05-10T03:13:00.000Z,10
2024-05-10T03:14:00.000Z,10
2024-05-10T03:15:00.000Z,14
2024-05-10T03:16:00.000Z,16
2024-05-10T03:17:00.000Z,16
2024-05-10T03:18:00.000Z,17
2024-05-10T03:19:00.000Z,17
2024-05-10T03:20:00.000Z,16
2024-05-10T03:21:00.000Z,15
2024-05-10T03:22:00.000Z,14
2024-05-10T03:23:00.000Z,13
