Callsign,Frequency,,,,,,,,,,
W2NAF,15 MHz,,,,,,,,,,
Hour (UTC),Date,Date,Date,Date,Date,Date,Date,,,,
Date,5/8/2024,5/9/2024,5/14/2024,5/20/2024,5/25/2024,5/28/2024,5/29/2024,,,,
Hour (UTC),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),AVG Doppler (Hz),STDEV,AVG - STDEV,AVG + STDEV
0,-0.191729993,-0.301600009,-0.101889998,-0.198039994,-0.480580002,-0.193189994,-0.254970014,-0.246,0.120417043,-0.366417043,-0.125582958
0.01667,-0.185849994,-0.323680013,-0.084459998,-0.051759999,-0.644879997,-0.051630002,-0.253560007,-0.227974287,0.211401741,-0.439376028,-0.016572547
0.03333,-0.124329999,-0.332049996,-0.200069994,-0.084590003,-0.541970015,-0.174229994,-0.220190004,-0.239632858,0.154651489,-0.394284347,-0.084981368
0.05,-0.152610004,-0.335420012,-0.220980003,-0.180480003,-0.266360015,-0.161180004,-0.213369995,-0.218628577,0.064634634,-0.283263211,-0.153993943
0.06667,-0.138009995,-0.403629988,-0.266050011,-0.28628999,-0.279170007,-0.144350007,-0.221520007,-0.248431429,0.091765279,-0.340196708,-0.156666151
0.08333,-0.189329997,-0.422049999,-0.43186,-0.45708999,-0.34424001,-0.019330001,-0.2192,-0.297585714,0.161466737,-0.45905245,-0.136118977
0.1,-0.131730005,-0.533840001,-0.479860008,-0.358410001,-0.414339989,-0.01737,-0.21604,-0.307370001,0.190778974,-0.498148974,-0.116591027
0.11667,-0.202460006,-0.549250007,-0.492330015,-0.307280004,-0.45126,-0.166950002,-0.252979994,-0.346072861,0.150895803,-0.496968664,-0.195177058
0.13333,-0.197940007,-0.578469992,-0.494419992,-0.356160015,-0.294209987,-0.18739,-0.27926001,-0.341121429,0.147322062,-0.488443491,-0.193799367
0.15,-0.176249996,-0.652140021,-0.488629997,-0.417950004,-0.295459986,-0.216700003,-0.262210011,-0.358477145,0.169931695,-0.528408841,-0.18854545
0.16667,-0.148000002,-0.581809998,-0.387140006,-0.301649988,-0.152349994,-0.284810007,-0.311659992,-0.309631426,0.14811867,-0.457750096,-0.161512756
0.18333,-0.14192,-0.511829972,-0.411460012,-0.378740013,-0.118840002,-0.364120007,-0.262109995,-0.312717143,0.144751765,-0.457468907,-0.167965378
0.2,-0.190029994,-0.591170013,-0.422580004,-0.362809986,-0.125369996,-0.405209988,-0.139679998,-0.319549997,0.173414819,-0.492964816,-0.146135178
0.21667,-0.166529998,-0.574299991,-0.35453999,-0.32615,-0.218630001,-0.673940003,-0.098839998,-0.344704283,0.211991115,-0.556695398,-0.132713168
0.23333,-0.174559996,-0.430480003,-0.278259993,-0.369489998,-0.281399995,-0.791360021,-0.14531,-0.352980001,0.217609427,-0.570589428,-0.135370573
0.25,-0.162509993,-0.521939993,-0.275979996,-0.329320014,-0.457540005,-1.006369948,-0.170739993,-0.41777142,0.292401619,-0.710173039,-0.125369801
0.26667,-0.14215,-0.65180999,-0.30399999,-0.321830004,-0.40417999,-1.115229964,-0.223169997,-0.451767134,0.33399172,-0.785758854,-0.117775414
0.28333,-0.156629995,-0.540470004,-0.385600001,-0.390839994,-0.419340014,-0.99326998,-0.297149986,-0.454757139,0.26494813,-0.719705269,-0.18980901
0.3,-0.176640004,-0.51718998,-0.364289999,-0.21717,-0.472359985,-0.663510025,-0.372559994,-0.397674284,0.170153746,-0.56782803,-0.227520538
0.31667,-0.184139997,-0.415199995,-0.361470014,-0.179700002,-0.48251,-0.91614002,-0.375470012,-0.41637572,0.247916727,-0.664292447,-0.168458993
0.33333,-0.245419994,-0.349700004,-0.357870013,-0.243589997,-0.36875999,-0.721840024,-0.425110012,-0.387470005,0.161633608,-0.549103613,-0.225836397
0.35,-0.134159997,-0.31261,-0.312830001,-0.258359998,-0.173889995,-0.900030017,-0.229069993,-0.331564286,0.259344401,-0.590908687,-0.072219885
0.36667,-0.167270005,-0.210590005,-0.335000008,-0.412010014,-0.124899998,-0.645120025,-0.206400007,-0.300184295,0.181618284,-0.481802578,-0.118566011
0.38333,-0.171189994,-0.225319996,-0.373389989,-0.428240001,-0.136840001,-0.473140001,-0.180370003,-0.284069998,0.137316141,-0.421386139,-0.146753857
0.4,-0.145520002,-0.260600001,-0.423390001,-0.423200011,-0.13075,-0.378670007,-0.0583,-0.260061432,0.151606708,-0.411668139,-0.108454724
0.41667,-0.171460003,-0.225810006,-0.418410003,-0.416390002,-0.204359993,-0.483850002,-0.206770003,-0.303864287,0.129826413,-0.4336907,-0.174037875
